elbo,kl,reconstruction,mse
1.2402315001889883,0.0561123015238421,0.6726112079907612,0.5115079900586461
0.9676560515380768,0.05357630207057459,0.6488477663821485,0.26523198431514833
0.9123198733272323,0.045125909760055774,0.638347619556519,0.2288463440645172
0.8841758574347898,0.04883462594575193,0.6283590323953744,0.20698219939886806
0.8607718825340271,0.05177983319364398,0.621270904627191,0.1877211438604148
0.8388314126485802,0.055804817207965506,0.6125195967145713,0.17050699882478598
0.8162346409027835,0.05987313036099974,0.5974512483700212,0.15891025865293412
0.8021076400595976,0.06261942155030836,0.5894697684839547,0.15001844528568797
0.7893124874815883,0.06572584269276585,0.5805270397519491,0.1430596064731299
0.7774113492793348,0.06848873987075794,0.5730664737253304,0.13585613581789546
0.7666583760675177,0.07065977127437131,0.5666653964892927,0.12933320645467344
0.7573047630758171,0.07264272049967065,0.5611336071807218,0.12352843525179898
0.747561382241996,0.07427690628781376,0.5557169188936073,0.11756755697080888
0.7404099915401046,0.07572164695305997,0.5515514747205987,0.11313687065638692
0.7519540273999593,0.07385927138019757,0.5663274968963071,0.11176725690623364
0.7455361861780465,0.07227787099868418,0.567614267963961,0.10564404713461198
0.7272466520229018,0.07733987201768232,0.5484015009489405,0.10150527767388218
0.7205603590930801,0.07855498686612371,0.543932673299169,0.09807269598346159
0.8196788714592715,0.06820011813956571,0.6156037336372467,0.1358750206160258
0.7671279680298035,0.06700648111571748,0.600017114576087,0.10010437270603985
0.7510796888765082,0.0703173477427069,0.5880298305706806,0.09273250952183482
0.7413036217172462,0.07198977459626026,0.580492928085557,0.08882091998694891
0.7299173732837999,0.07388635584747935,0.5709533840776926,0.08507762976798666
0.7227030733981764,0.07564941755978458,0.5642461219465876,0.08280753306595676
0.7064811393439051,0.07690366497599935,0.5540037864662078,0.07557368563061737
0.702236937040306,0.07770875548741904,0.551768419254257,0.07275976153561868
0.7006353609533195,0.07822086830814201,0.5505948397050421,0.07181965111788496
0.6988349173442427,0.07840269312083004,0.5495097319763828,0.07092249450913395
0.6977666225778051,0.07883096861552043,0.5483037813600288,0.07063187214444919
0.6965877386460821,0.07922980923609561,0.5474432455487999,0.06991468195814685
0.6950909213847425,0.0793760832892843,0.5463042883987886,0.06941054689596934
0.694195429388299,0.07971507436539753,0.54555418376463,0.06892616867300976
0.6928209877875914,0.07982545656612121,0.5445958611476852,0.06839966893375637
0.6916901186288121,0.07990394771458155,0.5438146133020699,0.06797155722616667
0.6912301959761654,0.0803858567433185,0.5430366302111063,0.06780770619411067
0.690120823986559,0.08053657141435577,0.5422195569578424,0.06736469243664339
0.6889171278620341,0.0808687064482505,0.5411803904786168,0.06686803093516683
0.6878281764237277,0.08110528599066906,0.5403527616018272,0.06637012604848448
0.6873171904000891,0.08143628065485552,0.5396131593060781,0.06626774922731411
0.6861606083720564,0.08165150344012731,0.5387627002704575,0.06574640364711543
0.6856699234031769,0.08184294567768832,0.5381897347519197,0.065637243197984
0.6845781860581364,0.08188563513468547,0.5375563154737634,0.06513623481234872
0.684060569412737,0.08219273989818182,0.5368512731000602,0.06501655758145344
0.6831700151225171,0.08225164851510382,0.5362699751394341,0.06464838874806841
0.6824779921267407,0.08256780831928713,0.535640371133046,0.0642698106905782
0.6816295161304704,0.08257865729820298,0.5350639031594058,0.06398695524198462
0.6809326021068067,0.08274058459034886,0.5344848207680576,0.06370719543781625
0.6802303160529539,0.08299499425184295,0.5338804015194077,0.06335491931223007
0.6792998747653272,0.08300554662583823,0.53332679271698,0.06296753471335732
0.6788049693567207,0.08330586216894977,0.5326678897961077,0.06283121594643018
